Feature	C1	C2	C3	C4	C5
HIST1H1E	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	13.526769104038236	2.220446049250313e-16
HIST1H2AC	1.237857926990092	2.220446049250313e-16	0.8646934577616534	2.5491889285876	2.1633030186022335
HIST1H2AM	2.1269129299802363	2.220446049250313e-16	1.6306981435391064	3.0270477659676147	2.220446049250313e-16
HIST1H2BC	3.3147710490641966	2.220446049250313e-16	2.220446049250313e-16	3.3696681065943124	2.220446049250313e-16
HIST1H2BK	3.037427647804009	2.220446049250313e-16	2.220446049250313e-16	5.410797320156994	2.220446049250313e-16
HIST1H3B	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	1.9107808344400576	1.7561116570875048
HIST2H2BE	1.4589980508073233	2.220446049250313e-16	2.2467917876230707	2.172381184995017	2.220446049250313e-16
HLA-A	1.6222173921918666	2.220446049250313e-16	0.9282774736962909	2.220446049250313e-16	5.374094632110978
HLA-B	4.415969281991752	2.220446049250313e-16	2.220446049250313e-16	1.4320051883136775	5.259772536398393
HLA-C	1.5627164799880495	2.220446049250313e-16	2.220446049250313e-16	0.40761736552860617	2.1005595570808193
HVCN1	2.220446049250313e-16	2.220446049250313e-16	3.269824581527552	2.220446049250313e-16	2.220446049250313e-16
IGLL5	2.4934469821019474	2.220446049250313e-16	2.220446049250313e-16	3.2340117180814647	4.674295966923288
IKZF3	2.138673221504843	0.24645718738686379	2.220446049250313e-16	2.220446049250313e-16	0.9864716138802635
IRF8	2.220446049250313e-16	2.220446049250313e-16	3.8483663491457123	4.051876593861784	2.220446049250313e-16
KLHL6	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	5.249240476753306	3.676556819960063
KMT2D	2.3713459936942414	3.536166703599298	14.189874921810526	2.220446049250313e-16	3.9271312303374044
LTB	1.5827764556908555	2.220446049250313e-16	2.220446049250313e-16	5.502764790128588	2.220446049250313e-16
LYN	2.0606133455894606	2.220446049250313e-16	2.220446049250313e-16	1.6601697512336404	2.220446049250313e-16
MAP2K1	2.220446049250313e-16	2.220446049250313e-16	2.159474168887119	1.399065509054529	2.220446049250313e-16
MEF2B	1.9511319984085311	2.220446049250313e-16	4.154843078727576	2.220446049250313e-16	0.2779385065881523
MYD88	3.2183377586913364	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	14.187181235491698
NFKBIA	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	4.77415380142526	2.220446049250313e-16
NFKBIE	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	3.182769200950173	2.220446049250313e-16
NLRP8	1.1530176589922982	1.3760967494735101	0.12750421256394592	0.46079533610084383	2.220446049250313e-16
