Feature	BCL2	MYD88	NEC	NOTCH2	SOCS1/SGK1	TET2/SGK1	MeanDecreaseAccuracy	MeanDecreaseGini
ARID1A	-4.056657488844381e-4	0.0034339745285103212	0.0032527426895727464	0.0025617122498136644	0.0015682966819848695	1.0610006023035842e-4	0.0018355440698724112	4.399068233946333
ATM	1.1911167157068795e-4	4.1666666666666665e-5	7.29813411332559e-5	2.4337856437355813e-4	-1.5822649572649571e-4	6.461798795764639e-5	7.453002177443129e-5	1.0272164483627095
B2M	-0.0018696961035788355	0.003856584635102786	0.08892186214621584	0.028596478885841062	0.00262582072131488	0.008374803044533098	0.025837442257966768	16.663978778985694
BCL10	0.001362454047173113	0.0036638659152017972	0.009397268344923404	0.022806275637690977	1.8579896978920157e-4	0.0017367960045345473	0.006957283618698326	8.184820520101988
BCL2_S	0.0846681557124035	0.004990963603093212	0.05062342375232823	0.016370783479447853	0.005274545564262359	0.02854074313744381	0.0355432136852848	27.784522437573557
BCL6	0.0017301955574137663	3.8650345794820774e-4	9.024602959848602e-4	0.0012527618658111455	4.424945177790224e-4	0.0015211858426289577	0.001070879178348027	3.501995994931486
BCL7A	0.009569345655847245	-7.857871513139339e-5	0.04966471451656399	0.009434330826007292	0.009440525240501917	-4.981732253748751e-4	0.015608280023248136	9.62637613630934
BCOR	1.9960235190047553e-4	1.9974843164946682e-4	-1.6302935545137634e-4	1.2633689839572194e-4	0	-2.1182266009852217e-4	3.916273510104277e-5	0.9092006552918496
BLM	-9.680099532219434e-5	8.325271658241779e-5	-2.8269395403703116e-4	1.4532255201244747e-4	4.7619047619047614e-5	5.615375969427897e-5	-3.262072401890782e-5	1.0811023760846696
BRAF	0.0020385593904115517	7.156031904334816e-4	0.007372845479314598	9.965966834567805e-4	-5.431096112578452e-4	0.02578816876716373	0.005153737688579866	6.007523214334237
BTG1_S	0.007128574707226848	0.0110974036884221	0.010902422245882658	0.0025419923800739028	0.010231150718915104	9.116825022711046e-4	0.007668496521483208	9.142595279367459
BTG2_S	0.01383421879250545	0.00579801694398971	0.009894085364812144	0.0017066285472703052	0.003968822249563872	7.401557401679701e-4	0.006782949341399684	9.021684354084279
BTK	-2.497392343918833e-4	2.7971923782401894e-4	0.0022462432479900788	1.3787938854390081e-4	4.418782470381145e-4	6.246119650921761e-5	5.744817885527783e-4	2.1211820682407674
CARD11	-5.719850471611013e-4	7.677495742411547e-4	0.003540869427486607	0.0019156345236827268	-7.978914377893718e-4	0.0020585358422101044	0.0012780240198186732	4.910011786090034
CCND3	0.0032455736707702547	-0.0013344010268370756	0.008642677180325563	0.017046929568797928	7.030311566019386e-4	0.0010017601395065068	0.005329127359130008	8.30701123336892
CD70	6.25572472722669e-4	3.492150710026162e-4	-6.251793566884554e-4	2.338657954725914e-4	-2.720030969559022e-4	6.0606060606060605e-5	4.655849050947441e-5	1.3146792571553156
CD79A	5.072588930559413e-5	-1.7241560687910413e-4	4.452690620667645e-4	6.446073522771979e-4	-5.118952063081384e-6	2.997899159663865e-4	2.176962745439742e-4	1.3170459834999868
CD79B	0.006721933916289193	0.04322736103397567	0.0086070137566254	0.010141310724314291	0.005189017539506227	0.00972298146413121	0.014132697299747784	13.525325075511692
CD83_S	0.0021617806488783177	0.005994537088872425	0.007927179381608489	0.008732091373263674	0.06056868699797617	-0.003970687877860924	0.011817759074804493	11.024658849540263
CIITA	3.6224129926846734e-4	-6.083650348822559e-4	0.0014521100957726669	0.001148667305019175	5.170131524081736e-4	-7.387666919991182e-5	5.323538900667083e-4	2.1859362921916583
CREBBP	0.03931793025309836	0.007235647545990393	0.028062129248706918	1.0510177387884468e-4	0.0036433565947883175	0.01622224620313518	0.017640878016490173	14.58999322207191
CXCR4	1.1677705191945894e-4	4.0988568694038754e-5	4.541909732913025e-4	8.675102244100081e-4	-1.8141945773524724e-5	-1.2790346907993967e-4	2.697082285693691e-4	1.6974655653483692
DNMT3A	3.2984204683916005e-4	4.3958710251015007e-4	5.318161486235225e-4	-4.888591800356506e-5	3.7767381968561737e-4	3.7310487134577887e-4	3.4651592615542404e-4	1.6319148306141478
DTX1_S	0.0033258704463259322	-7.516579887877138e-4	0.007454692178881745	-9.005067469611535e-4	0.0029433150303973506	5.028733056125555e-4	0.002441904604292437	6.2874504057118665
EBF1	-0.0011789287358683162	5.619058974068951e-4	0.005099870193560159	-4.8385333472428596e-4	-2.726648209165489e-4	0.0012196802922558694	0.001047777295137416	4.240128583130266
EGR1	4.571935248181386e-4	1.5850088335310012e-4	4.5624445857275466e-4	1.2058349451966471e-4	4.140384374074434e-4	-3.841615068394433e-4	2.524225119625548e-4	1.3141389532490124
EP300	0.0012627816657891184	7.447025922314863e-4	0.0025217895893973148	-7.240061662852691e-4	4.088252022042997e-4	1.6175348932975487e-5	8.707639424651683e-4	2.8593651433524285
ETV6	0.010487586922557402	0.02741310678700245	0.021677872120065618	0.0019895459116742458	0.005837966791312681	0.006516643807321086	0.013467622647069107	12.268428788791065
EZH2_646	0.07949111581749409	0.02366652550570008	0.06951816798487755	0.013864162037145002	0.0036699588439010485	0.003136251503856771	0.038593171648768326	27.392043355804578
EZH2_noncan	4.125578330936337e-4	1.5521592442645075e-4	2.274945115969785e-5	1.2239508872256328e-4	5.128205128205128e-5	-3.182374604788397e-5	1.3510576407545682e-4	0.8140337999896268
FAS	-1.777968674157119e-5	7.748455383773419e-4	0.007334896826722366	0.004237634693693647	-9.268681152049285e-4	-0.0019070709908634322	0.002154281050075537	4.581719300853807
FAT1	1.026029526029526e-4	-2.534304983539083e-4	3.521992562892412e-4	-2.0457413734724657e-4	1.7361111111111112e-4	0	3.840336846341441e-5	0.642006799212152
FAT3	1.288838402824314e-4	-4.821561479456216e-5	1.241070277101249e-4	3.389081437738243e-4	5.405405405405406e-5	6.25e-5	1.1237108852537781e-4	0.8810840435463062
FAT4	-1.2569367957298988e-5	3.508771929824561e-5	2.4217583547418654e-4	1.7305183293457192e-5	1.0555555555555555e-4	5.714285714285714e-5	8.614914699279691e-5	0.797667133665081
